InteractionID;CampaignID;CampaignName;CustomerID;CampaignMedium;EngagementLevel;ConversionStatus
1;5;Summer Sale 2024;11039;Email;Ignored;Not Converted
2;4;Summer Sale 2024;2651;Email;Opened;Not Converted
3;1;Summer Sale 2024;1253;Email;Opened;Converted
4;4;Summer Sale 2024;10737;Email;Opened;Not Converted
5;4;Summer Sale 2024;7804;SMS;Ignored;Not Converted
6;4;Summer Sale 2024;9100;Social Media;Ignored;Not Converted
7;3;Summer Sale 2024;8952;Email;Ignored;Not Converted
8;4;Summer Sale 2024;10899;Email;Ignored;Not Converted
9;1;Summer Sale 2024;9867;SMS;Ignored;Not Converted
10;4;Summer Sale 2024;9237;Email;Ignored;Not Converted
11;5;Summer Sale 2024;9835;SMS;Ignored;Not Converted
12;4;Summer Sale 2024;4050;Social Media;Opened;Not Converted
13;3;Summer Sale 2024;1842;Social Media;Clicked;Converted
14;5;Summer Sale 2024;666;Email;Opened;Not Converted
15;2;Summer Sale 2024;11221;Email;Clicked;Not Converted
16;2;Summer Sale 2024;7626;Social Media;Opened;Not Converted
17;5;Summer Sale 2024;1069;SMS;Clicked;Converted
18;1;Summer Sale 2024;2236;Email;Opened;Converted
19;1;Summer Sale 2024;50;Email;Clicked;Converted
20;4;Summer Sale 2024;4046;SMS;Clicked;Converted
21;4;Summer Sale 2024;2391;SMS;Ignored;Not Converted
22;4;Summer Sale 2024;12459;SMS;Opened;Not Converted
23;2;Summer Sale 2024;6108;SMS;Clicked;Not Converted
24;2;Summer Sale 2024;1579;Email;Clicked;Converted
25;3;Summer Sale 2024;11089;Social Media;Opened;Not Converted
26;4;Summer Sale 2024;6277;Social Media;Ignored;Not Converted
27;5;Summer Sale 2024;1854;Social Media;Clicked;Converted
28;5;Summer Sale 2024;562;Email;Clicked;Converted
29;2;Summer Sale 2024;10177;Email;Clicked;Converted
30;2;Summer Sale 2024;161;SMS;Clicked;Converted
31;3;Summer Sale 2024;7361;SMS;Ignored;Not Converted
32;5;Summer Sale 2024;6170;Email;Ignored;Not Converted
33;1;Summer Sale 2024;12439;SMS;Ignored;Not Converted
34;2;Summer Sale 2024;876;SMS;Opened;Converted
35;4;Summer Sale 2024;8464;SMS;Clicked;Converted
36;1;Summer Sale 2024;11549;Email;Ignored;Not Converted
37;4;Summer Sale 2024;145;SMS;Ignored;Not Converted
38;4;Summer Sale 2024;3407;Social Media;Opened;Not Converted
39;5;Summer Sale 2024;9648;Email;Ignored;Not Converted
40;2;Summer Sale 2024;6998;SMS;Ignored;Not Converted
41;3;Summer Sale 2024;2738;Social Media;Opened;Converted
42;2;Summer Sale 2024;4714;Email;Ignored;Not Converted
43;5;Summer Sale 2024;2356;SMS;Opened;Converted
44;1;Summer Sale 2024;11517;SMS;Clicked;Converted
45;1;Summer Sale 2024;6387;SMS;Clicked;Not Converted
46;5;Summer Sale 2024;3608;Email;Opened;Not Converted
47;4;Summer Sale 2024;3415;Social Media;Ignored;Not Converted
48;3;Summer Sale 2024;7946;Email;Ignored;Not Converted
49;1;Summer Sale 2024;10516;Social Media;Ignored;Not Converted
50;2;Summer Sale 2024;11080;Social Media;Clicked;Not Converted
51;1;Summer Sale 2024;7201;SMS;Ignored;Not Converted
52;1;Summer Sale 2024;8856;Social Media;Opened;Not Converted
53;3;Summer Sale 2024;4660;SMS;Clicked;Converted
54;3;Summer Sale 2024;7370;Email;Opened;Not Converted
55;3;Summer Sale 2024;8133;Email;Ignored;Not Converted
56;3;Summer Sale 2024;3259;SMS;Clicked;Converted
57;2;Summer Sale 2024;4978;Social Media;Clicked;Converted
58;3;Summer Sale 2024;11195;Email;Clicked;Converted
59;1;Summer Sale 2024;7454;Email;Ignored;Not Converted
60;2;Summer Sale 2024;1255;Social Media;Opened;Not Converted
61;3;Summer Sale 2024;8714;SMS;Ignored;Not Converted
62;5;Summer Sale 2024;1430;Social Media;Clicked;Converted
63;4;Summer Sale 2024;6405;Email;Ignored;Not Converted
64;2;Summer Sale 2024;9517;Email;Clicked;Not Converted
65;4;Summer Sale 2024;5086;Social Media;Opened;Not Converted
66;2;Summer Sale 2024;10524;Email;Ignored;Not Converted
67;1;Summer Sale 2024;4365;Social Media;Clicked;Not Converted
68;1;Summer Sale 2024;6195;Social Media;Ignored;Not Converted
69;1;Summer Sale 2024;2694;Email;Opened;Not Converted
70;4;Summer Sale 2024;10520;Social Media;Opened;Not Converted
71;5;Summer Sale 2024;392;Email;Ignored;Not Converted
72;1;Summer Sale 2024;11072;SMS;Clicked;Converted
73;4;Summer Sale 2024;7104;SMS;Opened;Not Converted
74;2;Summer Sale 2024;9561;Social Media;Clicked;Converted
75;2;Summer Sale 2024;1807;SMS;Opened;Not Converted
76;4;Summer Sale 2024;12065;Social Media;Clicked;Not Converted
77;4;Summer Sale 2024;7198;SMS;Clicked;Converted
78;1;Summer Sale 2024;12176;Social Media;Clicked;Converted
79;1;Summer Sale 2024;8221;Email;Opened;Not Converted
80;4;Summer Sale 2024;227;SMS;Ignored;Not Converted
81;3;Summer Sale 2024;6095;SMS;Ignored;Not Converted
82;4;Summer Sale 2024;6024;Email;Opened;Not Converted
83;1;Summer Sale 2024;2694;Email;Ignored;Not Converted
84;5;Summer Sale 2024;8685;SMS;Opened;Converted
85;2;Summer Sale 2024;8002;Email;Opened;Not Converted
86;1;Summer Sale 2024;12190;SMS;Clicked;Converted
87;3;Summer Sale 2024;7509;Email;Ignored;Not Converted
88;5;Summer Sale 2024;5697;SMS;Opened;Not Converted
89;3;Summer Sale 2024;3311;Email;Opened;Not Converted
90;5;Summer Sale 2024;6121;SMS;Clicked;Not Converted
91;5;Summer Sale 2024;1414;Social Media;Ignored;Not Converted
92;5;Summer Sale 2024;1811;Email;Clicked;Converted
93;2;Summer Sale 2024;5464;Email;Opened;Not Converted
94;1;Summer Sale 2024;4234;Social Media;Ignored;Not Converted
95;2;Summer Sale 2024;8947;Email;Opened;Not Converted
96;5;Summer Sale 2024;8418;Social Media;Opened;Not Converted
97;1;Summer Sale 2024;11512;Social Media;Ignored;Not Converted
98;1;Summer Sale 2024;4076;Email;Opened;Not Converted
