OrderID;CustomerID;OrderDate;DeliveryDate;OrderStatus;PaymentMethod;TransactionID;ProductID;QuantityOrdered;Totalprice;DiscountsApplied;TaxApplied
1;1186;2025-01-30 10:00:42.243;NULL;NULL;PayPal;1;569;1;286.19;0.00;22.90
1;1186;2025-01-30 10:00:42.243;NULL;NULL;PayPal;2;303;1;106.79;0.00;8.54
2;903;2023-07-02 10:00:42.247;NULL;NULL;NULL;3;690;1;1335.67;0.00;106.85
2;903;2023-07-02 10:00:42.247;NULL;NULL;NULL;4;761;1;263.18;0.00;21.05
3;5267;2024-05-18 10:00:42.247;NULL;NULL;Debit Card;5;65;1;1174.86;0.00;93.99
3;5267;2024-05-18 10:00:42.247;NULL;NULL;Debit Card;6;583;1;145.15;27.09;11.61
3;5267;2024-05-18 10:00:42.247;NULL;NULL;Debit Card;7;846;1;87.62;0.00;7.01
4;39;2023-05-08 10:00:42.250;2023-05-14 10:00:42.250;Completed;Credit Card;8;200;1;1659.07;0.00;132.73
4;39;2023-05-08 10:00:42.250;2023-05-14 10:00:42.250;Completed;Credit Card;9;200;1;1659.07;0.00;132.73
4;39;2023-05-08 10:00:42.250;2023-05-14 10:00:42.250;Completed;Credit Card;10;514;1;89.79;19.74;7.18
4;39;2023-05-08 10:00:42.250;2023-05-14 10:00:42.250;Completed;Credit Card;11;138;1;402.46;0.00;32.20
5;1588;2023-08-05 10:00:42.257;NULL;NULL;NULL;12;867;1;158.04;0.00;12.64
6;3419;2023-01-13 10:00:42.257;NULL;NULL;Debit Card;13;288;1;35.07;0.00;2.81
7;1347;2023-12-08 10:00:42.260;2023-12-12 10:00:42.260;Completed;NULL;14;133;1;99.19;0.00;7.94
7;1347;2023-12-08 10:00:42.260;2023-12-12 10:00:42.260;Completed;NULL;15;674;1;159.57;0.00;12.77
7;1347;2023-12-08 10:00:42.260;2023-12-12 10:00:42.260;Completed;NULL;16;295;1;410.49;0.00;32.84
8;1205;2025-03-30 10:00:42.260;2025-04-02 10:00:42.260;Completed;Credit Card;17;382;1;171.44;0.00;13.72
8;1205;2025-03-30 10:00:42.260;2025-04-02 10:00:42.260;Completed;Credit Card;18;958;1;154.14;0.00;12.33
8;1205;2025-03-30 10:00:42.260;2025-04-02 10:00:42.260;Completed;Credit Card;19;677;1;107.92;15.18;8.63
9;6747;2022-12-10 10:00:42.263;2022-12-12 10:00:42.263;Completed;Credit Card;20;591;1;214.81;0.00;17.18
9;6747;2022-12-10 10:00:42.263;2022-12-12 10:00:42.263;Completed;Credit Card;21;671;1;52.02;0.00;4.16
9;6747;2022-12-10 10:00:42.263;2022-12-12 10:00:42.263;Completed;Credit Card;22;460;6;1474.59;476.97;117.97
9;6747;2022-12-10 10:00:42.263;2022-12-12 10:00:42.263;Completed;Credit Card;23;351;1;176.97;0.00;14.16
