ProductID;ProductName;Category;Subcategory;BrandName;Price;StockAvailability
1;VitaBoost Makeup Model #1;Beauty & Health;Makeup;VitaBoost;77.04;428
2;ElectroBrand Laptops Model #2;Electronics;Laptops;ElectroBrand;857.28;52
3;EcoThreads Jeans Model #3;Clothing;Jeans;EcoThreads;281.87;173
4;KitchenWiz Bedding Model #4;Home & Kitchen;Bedding;KitchenWiz;295.47;64
5;PureHealth Vitamins Model #5;Beauty & Health;Vitamins;PureHealth;49.57;226
6;GadgetPro Laptops Model #6;Electronics;Laptops;GadgetPro;449.15;418
7;GlowUp Makeup Model #7;Beauty & Health;Makeup;GlowUp;191.71;437
8;ClassicFits Jeans Model #8;Clothing;Jeans;ClassicFits;258.20;345
9;GadgetPro Laptops Model #9;Electronics;Laptops;GadgetPro;711.15;162
10;EcoThreads T-Shirts Model #10;Clothing;T-Shirts;EcoThreads;214.43;177
11;ElectroBrand Laptops Model #11;Electronics;Laptops;ElectroBrand;944.45;134
12;CozyLiving Bedding Model #12;Home & Kitchen;Bedding;CozyLiving;460.20;85
13;GadgetPro Smartphones Model #13;Electronics;Smartphones;GadgetPro;340.02;408
14;ElectroBrand Smartphones Model #14;Electronics;Smartphones;ElectroBrand;501.15;170
15;GadgetPro Headphones Model #15;Electronics;Headphones;GadgetPro;1383.24;402
16;TechGiant Headphones Model #16;Electronics;Headphones;TechGiant;237.61;436
17;ClassicFits Jackets Model #17;Clothing;Jackets;ClassicFits;234.35;66
18;PureHealth Vitamins Model #18;Beauty & Health;Vitamins;PureHealth;80.60;133
19;PureHealth Skincare Model #19;Beauty & Health;Skincare;PureHealth;130.50;93
20;UrbanWear Jackets Model #20;Clothing;Jackets;UrbanWear;172.10;6
21;GlowUp Skincare Model #21;Beauty & Health;Skincare;GlowUp;165.71;173
22;HomeEssentials Bedding Model #22;Home & Kitchen;Bedding;HomeEssentials;83.79;460
23;ClassicFits Jeans Model #23;Clothing;Jeans;ClassicFits;84.39;243
24;VitaBoost Makeup Model #24;Beauty & Health;Makeup;VitaBoost;61.01;99
25;CozyLiving Bedding Model #25;Home & Kitchen;Bedding;CozyLiving;261.01;211
26;ClassicFits Jackets Model #26;Clothing;Jackets;ClassicFits;121.98;385
27;GlowUp Skincare Model #27;Beauty & Health;Skincare;GlowUp;58.73;428
28;UrbanWear Jeans Model #28;Clothing;Jeans;UrbanWear;132.97;468
29;ElectroBrand Laptops Model #29;Electronics;Laptops;ElectroBrand;1363.03;5
30;TechGiant Headphones Model #30;Electronics;Headphones;TechGiant;1206.48;434
31;KitchenWiz Bedding Model #31;Home & Kitchen;Bedding;KitchenWiz;257.31;299
32;GlowUp Vitamins Model #32;Beauty & Health;Vitamins;GlowUp;58.13;113
33;UrbanWear Jackets Model #33;Clothing;Jackets;UrbanWear;86.55;5
34;TechGiant Headphones Model #34;Electronics;Headphones;TechGiant;1874.45;436
35;GlowUp Makeup Model #35;Beauty & Health;Makeup;GlowUp;99.41;58
36;ClassicFits Jeans Model #36;Clothing;Jeans;ClassicFits;280.01;472
37;VitaBoost Skincare Model #37;Beauty & Health;Skincare;VitaBoost;184.64;239
38;GlowUp Skincare Model #38;Beauty & Health;Skincare;GlowUp;54.83;87
39;UrbanWear T-Shirts Model #39;Clothing;T-Shirts;UrbanWear;47.47;178
40;GlowUp Makeup Model #40;Beauty & Health;Makeup;GlowUp;76.45;274
41;ElectroBrand Headphones Model #41;Electronics;Headphones;ElectroBrand;936.49;122
42;HomeEssentials Bedding Model #42;Home & Kitchen;Bedding;HomeEssentials;245.35;223
43;GlowUp Vitamins Model #43;Beauty & Health;Vitamins;GlowUp;72.96;385
44;CozyLiving Bedding Model #44;Home & Kitchen;Bedding;CozyLiving;92.87;210
45;PureHealth Makeup Model #45;Beauty & Health;Makeup;PureHealth;82.98;206
46;PureHealth Makeup Model #46;Beauty & Health;Makeup;PureHealth;26.06;110
47;GadgetPro Laptops Model #47;Electronics;Laptops;GadgetPro;1538.86;455
48;GadgetPro Headphones Model #48;Electronics;Headphones;GadgetPro;370.08;200
49;GlowUp Makeup Model #49;Beauty & Health;Makeup;GlowUp;175.56;45
50;VitaBoost Vitamins Model #50;Beauty & Health;Vitamins;VitaBoost;127.14;247
51;GadgetPro Smartphones Model #51;Electronics;Smartphones;GadgetPro;1939.85;401
52;KitchenWiz Decor Model #52;Home & Kitchen;Decor;KitchenWiz;224.79;88
53;HomeEssentials Bedding Model #53;Home & Kitchen;Bedding;HomeEssentials;87.84;401
54;GlowUp Skincare Model #54;Beauty & Health;Skincare;GlowUp;199.65;212
55;ElectroBrand Laptops Model #55;Electronics;Laptops;ElectroBrand;1249.49;372
56;TechGiant Headphones Model #56;Electronics;Headphones;TechGiant;890.93;216
57;KitchenWiz Decor Model #57;Home & Kitchen;Decor;KitchenWiz;386.61;238
58;VitaBoost Makeup Model #58;Beauty & Health;Makeup;VitaBoost;188.67;287
59;ElectroBrand Headphones Model #59;Electronics;Headphones;ElectroBrand;1667.74;333
60;ElectroBrand Headphones Model #60;Electronics;Headphones;ElectroBrand;1573.11;106
61;EcoThreads T-Shirts Model #61;Clothing;T-Shirts;EcoThreads;281.40;223
62;CozyLiving Bedding Model #62;Home & Kitchen;Bedding;CozyLiving;197.65;113
63;UrbanWear Jeans Model #63;Clothing;Jeans;UrbanWear;23.55;429
64;HomeEssentials Decor Model #64;Home & Kitchen;Decor;HomeEssentials;200.62;61
65;GadgetPro Laptops Model #65;Electronics;Laptops;GadgetPro;733.31;300
66;ElectroBrand Laptops Model #66;Electronics;Laptops;ElectroBrand;615.75;29
67;GadgetPro Laptops Model #67;Electronics;Laptops;GadgetPro;163.63;21
68;PureHealth Skincare Model #68;Beauty & Health;Skincare;PureHealth;198.99;344
69;VitaBoost Skincare Model #69;Beauty & Health;Skincare;VitaBoost;103.91;47
70;GadgetPro Headphones Model #70;Electronics;Headphones;GadgetPro;865.81;395
71;UrbanWear Jeans Model #71;Clothing;Jeans;UrbanWear;53.46;408
72;GlowUp Skincare Model #72;Beauty & Health;Skincare;GlowUp;141.72;49
73;GlowUp Vitamins Model #73;Beauty & Health;Vitamins;GlowUp;69.95;126
74;ClassicFits Jeans Model #74;Clothing;Jeans;ClassicFits;134.67;69
75;TechGiant Laptops Model #75;Electronics;Laptops;TechGiant;351.44;53
76;VitaBoost Makeup Model #76;Beauty & Health;Makeup;VitaBoost;151.48;372
77;HomeEssentials Decor Model #77;Home & Kitchen;Decor;HomeEssentials;373.96;293
78;EcoThreads Jeans Model #78;Clothing;Jeans;EcoThreads;121.98;178
79;HomeEssentials Decor Model #79;Home & Kitchen;Decor;HomeEssentials;194.16;227
80;EcoThreads T-Shirts Model #80;Clothing;T-Shirts;EcoThreads;192.66;121
81;HomeEssentials Cookware Model #81;Home & Kitchen;Cookware;HomeEssentials;130.99;258
82;HomeEssentials Decor Model #82;Home & Kitchen;Decor;HomeEssentials;124.91;247
83;HomeEssentials Cookware Model #83;Home & Kitchen;Cookware;HomeEssentials;276.27;138
84;GadgetPro Smartphones Model #84;Electronics;Smartphones;GadgetPro;1963.45;489
85;HomeEssentials Cookware Model #85;Home & Kitchen;Cookware;HomeEssentials;449.35;360
86;ClassicFits Jeans Model #86;Clothing;Jeans;ClassicFits;66.09;84
87;ElectroBrand Laptops Model #87;Electronics;Laptops;ElectroBrand;1291.07;414
88;EcoThreads Jackets Model #88;Clothing;Jackets;EcoThreads;275.75;281
89;KitchenWiz Decor Model #89;Home & Kitchen;Decor;KitchenWiz;132.36;210
90;GlowUp Skincare Model #90;Beauty & Health;Skincare;GlowUp;50.87;466
91;KitchenWiz Bedding Model #91;Home & Kitchen;Bedding;KitchenWiz;42.37;67
92;UrbanWear Jeans Model #92;Clothing;Jeans;UrbanWear;63.03;51
93;GadgetPro Smartphones Model #93;Electronics;Smartphones;GadgetPro;1927.62;225
94;VitaBoost Skincare Model #94;Beauty & Health;Skincare;VitaBoost;124.11;377
95;VitaBoost Vitamins Model #95;Beauty & Health;Vitamins;VitaBoost;99.80;358
96;TechGiant Laptops Model #96;Electronics;Laptops;TechGiant;744.79;222
97;KitchenWiz Bedding Model #97;Home & Kitchen;Bedding;KitchenWiz;180.55;456
98;PureHealth Vitamins Model #98;Beauty & Health;Vitamins;PureHealth;136.70;106
99;GadgetPro Laptops Model #99;Electronics;Laptops;GadgetPro;1395.80;353
100;GlowUp Makeup Model #100;Beauty & Health;Makeup;GlowUp;59.26;91
101;GadgetPro Headphones Model #101;Electronics;Headphones;GadgetPro;777.32;122
102;GlowUp Vitamins Model #102;Beauty & Health;Vitamins;GlowUp;13.31;210
103;CozyLiving Cookware Model #103;Home & Kitchen;Cookware;CozyLiving;346.04;135
104;ClassicFits T-Shirts Model #104;Clothing;T-Shirts;ClassicFits;192.58;391
105;EcoThreads Jackets Model #105;Clothing;Jackets;EcoThreads;233.99;201
106;UrbanWear Jackets Model #106;Clothing;Jackets;UrbanWear;283.46;137
107;EcoThreads Jeans Model #107;Clothing;Jeans;EcoThreads;261.70;125
108;TechGiant Smartphones Model #108;Electronics;Smartphones;TechGiant;1796.72;246
109;UrbanWear Jeans Model #109;Clothing;Jeans;UrbanWear;258.52;478
110;TechGiant Smartphones Model #110;Electronics;Smartphones;TechGiant;744.26;26
111;TechGiant Laptops Model #111;Electronics;Laptops;TechGiant;1509.83;172
