SessionID;CustomerID;SessionDurationMinutes;NumberOfPagesVisited;ItemsAddedToCart;ItemsRemovedFromCart;DeviceUsed
1;3869;3.76;3;1;0;Mobile
2;2659;9.18;8;4;0;Mobile
3;1895;4.38;4;1;0;Mobile
4;10785;15.42;15;1;0;Tablet
5;12210;12.09;22;0;0;Mobile
6;1946;13.68;10;1;0;Desktop
7;7124;21.91;12;2;0;Mobile
8;655;4.75;6;0;0;Tablet
9;6872;9.35;15;0;0;Tablet
10;8720;17.19;13;2;0;Tablet
11;4307;7.58;15;1;0;Mobile
12;4585;1.19;2;0;0;Tablet
13;1202;1.81;1;2;0;Desktop
14;2060;0.82;1;3;0;Tablet
15;12236;4.83;5;1;0;Mobile
16;7039;2.77;2;3;0;Tablet
17;2553;41.94;21;1;0;Tablet
18;11336;7.89;9;0;0;Desktop
19;5011;11.23;8;4;2;Tablet
20;1135;18.21;21;3;0;Desktop
21;3536;38.41;21;2;1;Desktop
22;81;17.17;11;0;0;Tablet
23;321;9.47;7;0;0;Desktop
24;1761;13.14;25;1;0;Mobile
25;5044;16.09;12;4;2;Tablet
26;4730;33.30;23;0;0;Desktop
27;8936;19.00;13;2;0;Desktop
28;6890;24.42;25;3;0;Desktop
29;5826;21.59;12;3;0;Tablet
30;10381;2.79;4;2;0;Mobile
31;9281;4.50;3;0;0;Mobile
32;5198;10.52;8;1;0;Desktop
33;2506;38.08;22;1;0;Tablet
34;4432;9.57;12;0;0;Mobile
35;3173;0.79;1;0;0;Tablet
36;8729;3.37;2;0;0;Mobile
37;7260;16.40;17;2;0;Tablet
38;8367;3.23;5;4;3;Tablet
39;11584;11.45;8;0;0;Desktop
40;3571;10.86;11;0;0;Tablet
41;6440;24.58;16;0;0;Tablet
42;11392;5.19;9;2;0;Mobile
43;9902;11.40;16;4;0;Tablet
44;9665;13.78;10;0;0;Tablet
45;10174;9.20;14;2;0;Mobile
46;6968;4.29;3;4;0;Mobile
47;10705;22.96;19;0;0;Tablet
48;4308;7.91;15;0;0;Tablet
49;2464;16.38;16;0;0;Desktop
50;4830;12.99;15;0;0;Mobile
51;2216;16.73;19;4;3;Tablet
52;7676;37.80;20;1;0;Tablet
53;10946;1.96;1;3;0;Desktop
54;5114;17.78;25;1;0;Desktop
55;9728;5.23;4;3;0;Mobile
56;4410;14.79;11;3;0;Mobile
57;4293;13.35;15;4;0;Tablet
58;7937;11.71;17;0;0;Desktop
59;7975;32.56;19;0;0;Desktop
60;9941;7.54;10;4;1;Desktop
61;6299;4.73;7;0;0;Mobile
62;2801;7.85;4;0;0;Tablet
63;4404;13.82;14;1;0;Desktop
64;8025;7.95;4;3;0;Tablet
65;8938;4.84;9;0;0;Mobile
66;9032;0.82;1;0;0;Tablet
67;9263;7.36;8;0;0;Tablet
68;2591;13.10;13;3;1;Mobile
69;6846;31.65;21;4;0;Tablet
70;4725;15.34;21;0;0;Tablet
71;5993;23.54;12;1;0;Mobile
72;12449;3.90;4;4;0;Tablet
73;5543;10.12;17;0;0;Mobile
74;5773;16.46;22;0;0;Mobile
75;403;5.57;6;0;0;Desktop
76;11115;18.79;13;3;1;Desktop
77;1087;21.00;22;0;0;Mobile
78;6263;1.88;3;0;0;Desktop
79;6076;4.78;8;0;0;Tablet
80;4902;20.43;12;4;0;Mobile
81;4226;14.69;10;1;0;Desktop
82;3892;17.63;12;1;0;Mobile
83;3681;3.87;7;0;0;Mobile
84;8823;9.01;8;3;0;Mobile
85;12425;18.96;20;4;0;Mobile
86;3182;9.50;10;2;0;Desktop
87;1704;1.82;1;0;0;Mobile
88;5390;29.84;22;0;0;Tablet
89;8826;1.47;2;0;0;Mobile
90;5735;2.38;4;3;0;Desktop
91;8693;27.02;25;3;0;Desktop
92;6845;9.47;7;0;0;Tablet
93;11066;43.29;23;3;0;Desktop
94;6608;18.13;11;3;0;Desktop
95;2484;11.29;12;3;2;Tablet
96;10100;38.80;25;0;0;Tablet
97;11951;17.43;10;1;0;Tablet
98;2503;25.39;16;2;0;Desktop
99;5777;13.48;18;3;0;Tablet
100;6576;6.46;5;0;0;Tablet
